,class,value
0,United-States,0
1,Cuba,1
2,Jamaica,2
3,India,3
4,Mexico,4
5,Puerto-Rico,5
6,Honduras,6
7,England,7
8,Canada,8
9,Germany,9
10,Iran,10
11,Philippines,11
12,Poland,12
13,Columbia,13
14,Cambodia,14
15,Thailand,15
16,Ecuador,16
17,Laos,17
18,Taiwan,18
19,Haiti,19
20,Portugal,20
21,Dominican-Republic,21
22,El-Salvador,22
23,France,23
24,Guatemala,24
25,Italy,25
26,China,26
27,South,27
28,Japan,28
29,Yugoslavia,29
30,Peru,30
31,Outlying-US(Guam-USVI-etc),31
32,Scotland,32
33,Trinadad&Tobago,33
34,Greece,34
35,Nicaragua,35
36,Vietnam,36
37,Hong,37
38,Ireland,38
39,Hungary,39
40,Holand-Netherlands,40
